,country,growth_factor,cases,analysis,growth_factor_mod,new_cases
54,Fiji,0.0,17.0,COVID-19 Spread Can Be Contained!,0.5,0.0
55,Finland,0.9090909090909091,3489.0,Analysis is Pending Additional Data,1.3229665071770336,120.0
56,France,0.1630026381005676,149130.0,COVID-19 Spread Has Gotten Out of Control!,2.02328958356441,2039.0
57,Gabon,28.0,108.0,Analysis is Pending Additional Data,14.0,28.0
58,Gambia,0.0,9.0,COVID-19 Spread Can Be Contained!,0.0,0.0
59,Georgia,0.5238095238095238,370.0,Analysis is Pending Additional Data,3.761904761904762,22.0
60,Germany,1.2560271646859082,141397.0,COVID-19 Spread Has Gotten Out of Control!,1.0618674420954586,3699.0
61,Ghana,0.0,641.0,Analysis is Pending Additional Data,2.5,0.0
62,Greece,1.1333333333333333,2224.0,COVID-19 Spread is Possibly Getting Under Control!,0.9075757575757575,17.0
63,Guatemala,1.125,214.0,COVID-19 Spread Can Be Contained!,1.1778846153846154,18.0
64,Guinea,1.1470588235294117,477.0,COVID-19 Spread is Possibly Getting Under Control!,0.9881635581061692,39.0
65,Guyana,8.0,63.0,Analysis is Pending Additional Data,4.0,8.0
66,Haiti,2.0,43.0,COVID-19 Spread Can Be Contained!,1.0,2.0
67,Holy See,0.0,8.0,COVID-19 Spread Can Be Contained!,0.0,0.0
68,Honduras,2.2857142857142856,442.0,COVID-19 Spread is Starting To Get Outta Hands!,1.4345238095238095,16.0
69,Hungary,1.5205479452054795,1763.0,COVID-19 Spread is Starting To Get Outta Hands!,1.3050500920057249,111.0
70,Iceland,1.25,1754.0,COVID-19 Spread is Starting To Get Outta Hands!,1.4821428571428572,15.0
71,India,0.8321299638989169,14352.0,COVID-19 Spread Has Gotten Out of Control!,1.079538035841674,922.0
72,Indonesia,1.0710526315789475,5923.0,COVID-19 Spread Has Gotten Out of Control!,1.1752569555201133,407.0
73,Iran,0.9333748443337484,79494.0,COVID-19 Spread Has Gotten Out of Control!,0.9977720782515302,1499.0
74,Iraq,2.526315789473684,1482.0,COVID-19 Spread Has Gotten Out of Control!,1.8964912280701753,48.0
75,Ireland,0.9792817679558011,13980.0,COVID-19 Spread Has Gotten Out of Control!,0.8285921948393238,709.0
76,Israel,0.8715953307392996,12982.0,COVID-19 Spread is Possibly Getting Under Control!,0.7182152477872322,224.0
77,Italy,0.9226096143687269,172434.0,COVID-19 Spread Has Gotten Out of Control!,1.1710910838997741,3493.0
78,Jamaica,0.0,143.0,COVID-19 Spread Can Be Contained!,0.17307692307692307,0.0
79,Japan,2.2072243346007605,9787.0,COVID-19 Spread Has Gotten Out of Control!,1.6816341453223582,1161.0
80,Jordan,5.0,407.0,COVID-19 Spread Has Gotten Out of Control!,2.625,5.0
81,Kazakhstan,1.3457943925233644,1546.0,COVID-19 Spread is Starting To Get Outta Hands!,1.5221035454680314,144.0
82,Kenya,1.3333333333333333,246.0,COVID-19 Spread is Starting To Get Outta Hands!,1.1666666666666665,12.0
83,"Korea, South",1.0,10635.0,COVID-19 Spread is Possibly Getting Under Control!,0.9074074074074074,22.0
84,Kuwait,1.1260504201680672,1658.0,Analysis is Pending Additional Data,1.7530252100840336,134.0
85,Kyrgyzstan,1.3529411764705883,489.0,COVID-19 Spread is Starting To Get Outta Hands!,1.1238390092879258,23.0
86,Latvia,0.7777777777777778,682.0,COVID-19 Spread is Possibly Getting Under Control!,0.8888888888888888,7.0
87,Lebanon,1.0,668.0,COVID-19 Spread is Possibly Getting Under Control!,0.6470588235294118,5.0
88,Liberia,17.0,76.0,Analysis is Pending Additional Data,8.5,17.0
89,Liechtenstein,0.0,79.0,COVID-19 Spread Can Be Contained!,0.0,0.0
90,Lithuania,0.5675675675675675,1149.0,COVID-19 Spread is Starting To Get Outta Hands!,1.1647361647361647,21.0
91,Luxembourg,0.5070422535211268,3480.0,COVID-19 Spread is Possibly Getting Under Control!,0.7913999146393512,36.0
92,Madagascar,6.0,117.0,Analysis is Pending Additional Data,3.25,6.0
93,Malaysia,0.6272727272727273,5251.0,COVID-19 Spread is Possibly Getting Under Control!,0.9606951871657754,69.0
94,Maldives,1.0,28.0,COVID-19 Spread Can Be Contained!,1.25,3.0
95,Malta,0.7692307692307693,422.0,COVID-19 Spread is Starting To Get Outta Hands!,1.4679487179487178,10.0
96,Mauritania,0.0,7.0,COVID-19 Spread Can Be Contained!,0.0,0.0
97,Mauritius,0.0,324.0,COVID-19 Spread is Possibly Getting Under Control!,0.0,0.0
98,Mexico,1.0044642857142858,6297.0,COVID-19 Spread Has Gotten Out of Control!,1.0840503246753248,450.0
99,Moldova,1.0476190476190477,2264.0,COVID-19 Spread is Possibly Getting Under Control!,0.9803312629399585,110.0
100,Monaco,1.0,94.0,COVID-19 Spread Can Be Contained!,0.5,1.0
101,Mongolia,0.0,31.0,COVID-19 Spread Can Be Contained!,0.5,0.0
102,Montenegro,0.0,303.0,COVID-19 Spread is Starting To Get Outta Hands!,1.5,0.0
103,Morocco,1.084942084942085,2564.0,COVID-19 Spread is Starting To Get Outta Hands!,1.4946769248239837,281.0
104,Namibia,0.0,16.0,COVID-19 Spread Can Be Contained!,0.0,0.0
105,Nepal,14.0,30.0,Analysis is Pending Additional Data,7.0,14.0
106,Netherlands,1.1583880037488286,30619.0,COVID-19 Spread Has Gotten Out of Control!,1.3040581323091969,1236.0
107,New Zealand,0.5333333333333333,1409.0,COVID-19 Spread is Possibly Getting Under Control!,0.6416666666666666,8.0
108,Nicaragua,0.0,9.0,COVID-19 Spread Can Be Contained!,0.0,0.0
109,Niger,43.0,627.0,Analysis is Pending Additional Data,21.5,43.0
110,Nigeria,1.457142857142857,493.0,COVID-19 Spread is Starting To Get Outta Hands!,1.2432773109243698,51.0
111,North Macedonia,0.3364485981308411,1117.0,COVID-19 Spread is Possibly Getting Under Control!,0.9788303596714811,36.0
112,Norway,0.26282051282051283,6937.0,COVID-19 Spread is Possibly Getting Under Control!,0.798076923076923,41.0
113,Oman,0.45871559633027525,1069.0,COVID-19 Spread is Possibly Getting Under Control!,0.7912134682682304,50.0
114,Pakistan,0.19776119402985073,7025.0,COVID-19 Spread is Possibly Getting Under Control!,0.5897230878574162,106.0
115,Panama,1.497175141242938,4016.0,COVID-19 Spread Has Gotten Out of Control!,1.6162346294449983,265.0
116,Papua New Guinea,0.0,7.0,COVID-19 Spread Can Be Contained!,2.5,0.0
117,Paraguay,1.9230769230769231,199.0,COVID-19 Spread Can Be Contained!,4.211538461538462,25.0
118,Peru,0.9822834645669292,13489.0,COVID-19 Spread Has Gotten Out of Control!,0.9245888312595738,998.0
119,Philippines,1.0531400966183575,5878.0,COVID-19 Spread is Possibly Getting Under Control!,0.9765700483091788,218.0
120,Poland,1.3720238095238095,8379.0,COVID-19 Spread Has Gotten Out of Control!,1.1281171679197994,461.0
121,Portugal,0.24133333333333334,19022.0,COVID-19 Spread is Possibly Getting Under Control!,0.7038703991705547,181.0
122,Qatar,1.4285714285714286,4663.0,COVID-19 Spread Has Gotten Out of Control!,1.4068652195860678,560.0
123,Romania,0.7331975560081466,8067.0,COVID-19 Spread Has Gotten Out of Control!,1.0950854248883464,360.0
124,Russia,1.1803944315545243,32008.0,COVID-19 Spread Has Gotten Out of Control!,1.0990519973593165,4070.0
125,Rwanda,2.5,143.0,Analysis is Pending Additional Data,1.75,5.0
126,Saint Lucia,0.0,15.0,COVID-19 Spread Can Be Contained!,0.0,0.0
127,Saint Vincent and the Grenadines,0.0,12.0,COVID-19 Spread Can Be Contained!,0.0,0.0
128,San Marino,0.16666666666666666,435.0,Analysis is Pending Additional Data,27.083333333333332,9.0
129,Saudi Arabia,1.471042471042471,7142.0,COVID-19 Spread Has Gotten Out of Control!,1.260876205095272,762.0
130,Senegal,0.3333333333333333,342.0,COVID-19 Spread is Possibly Getting Under Control!,0.8666666666666666,7.0
131,Serbia,0.8359550561797753,5690.0,COVID-19 Spread Has Gotten Out of Control!,0.9633206653447896,372.0
132,Seychelles,0.0,11.0,COVID-19 Spread Can Be Contained!,0.0,0.0
133,Singapore,0.8557692307692307,5050.0,COVID-19 Spread Has Gotten Out of Control!,1.2422022887626913,623.0
134,Slovakia,0.631578947368421,1049.0,Analysis is Pending Additional Data,2.351503759398496,72.0
135,Slovenia,1.8,1304.0,COVID-19 Spread is Starting To Get Outta Hands!,1.2571428571428571,36.0
136,Somalia,36.0,116.0,Analysis is Pending Additional Data,18.0,36.0
137,South Africa,1.797979797979798,2783.0,COVID-19 Spread is Starting To Get Outta Hands!,1.442945942945943,178.0
138,Spain,0.8065443592552026,190839.0,COVID-19 Spread Has Gotten Out of Control!,1.1189296360257983,5891.0
139,Sri Lanka,6.0,244.0,COVID-19 Spread Has Gotten Out of Control!,3.0,6.0
140,Sudan,1.0,33.0,COVID-19 Spread Can Be Contained!,0.5,1.0
141,Suriname,0.0,10.0,COVID-19 Spread Can Be Contained!,0.0,0.0
142,Sweden,1.102773246329527,13216.0,COVID-19 Spread Has Gotten Out of Control!,1.187278739347336,676.0
143,Switzerland,0.8737373737373737,27078.0,COVID-19 Spread Has Gotten Out of Control!,0.9318686868686868,346.0
144,Taiwan*,0.0,395.0,COVID-19 Spread is Possibly Getting Under Control!,0.0,0.0
145,Tanzania,8.833333333333334,147.0,COVID-19 Spread Has Gotten Out of Control!,4.502380952380952,53.0
146,Thailand,0.9655172413793104,2700.0,COVID-19 Spread is Possibly Getting Under Control!,0.9660919540229885,28.0
147,Togo,2.0,83.0,COVID-19 Spread Can Be Contained!,1.0,2.0
148,Trinidad and Tobago,0.0,114.0,COVID-19 Spread Can Be Contained!,0.0,0.0
149,Tunisia,1.0,864.0,COVID-19 Spread is Starting To Get Outta Hands!,1.1363636363636362,42.0
150,Turkey,0.9066861070610289,78546.0,COVID-19 Spread Has Gotten Out of Control!,1.0140765270180174,4353.0
151,Uganda,1.0,56.0,COVID-19 Spread Can Be Contained!,0.5,1.0
152,Ukraine,1.2619647355163728,4662.0,COVID-19 Spread Has Gotten Out of Control!,1.1373599187785945,501.0
153,United Arab Emirates,1.0369565217391303,6302.0,COVID-19 Spread Has Gotten Out of Control!,1.0508856682769725,477.0
154,United Kingdom,1.2063492063492063,109769.0,COVID-19 Spread Has Gotten Out of Control!,1.1057619252962074,5624.0
155,Uruguay,0.0,502.0,COVID-19 Spread is Possibly Getting Under Control!,0.5555555555555556,0.0
156,US,1.014435153095291,699706.0,COVID-19 Spread Has Gotten Out of Control!,1.0555265026285383,31905.0
157,Uzbekistan,1.1914893617021276,1405.0,COVID-19 Spread is Possibly Getting Under Control!,0.7672775275663923,56.0
158,Venezuela,0.0,204.0,COVID-19 Spread Can Be Contained!,0.4375,0.0
159,Vietnam,0.0,268.0,COVID-19 Spread is Possibly Getting Under Control!,0.5,0.0
160,Zambia,4.0,52.0,Analysis is Pending Additional Data,2.0,4.0
161,Zimbabwe,1.0,24.0,COVID-19 Spread Can Be Contained!,0.5,1.0
162,Dominica,0.0,16.0,COVID-19 Spread Can Be Contained!,0.0,0.0
163,Grenada,0.0,14.0,COVID-19 Spread Can Be Contained!,0.0,0.0
164,Mozambique,1.5,34.0,COVID-19 Spread Can Be Contained!,1.75,3.0
165,Syria,5.0,38.0,Analysis is Pending Additional Data,2.5,5.0
166,Timor-Leste,0.0,18.0,COVID-19 Spread Can Be Contained!,2.5,0.0
167,Belize,0.0,18.0,COVID-19 Spread Can Be Contained!,0.0,0.0
168,Laos,0.0,19.0,COVID-19 Spread Can Be Contained!,0.0,0.0
169,Libya,0.0,49.0,COVID-19 Spread Can Be Contained!,0.038461538461538464,0.0
170,West Bank and Gaza,28.0,402.0,COVID-19 Spread Has Gotten Out of Control!,14.0,28.0
171,Guinea-Bissau,0.0,43.0,COVID-19 Spread Can Be Contained!,0.0,0.0
172,Mali,0.0,171.0,COVID-19 Spread Can Be Contained!,2.875,0.0
173,Saint Kitts and Nevis,0.0,14.0,COVID-19 Spread Can Be Contained!,0.0,0.0
174,Kosovo,0.5,480.0,Analysis is Pending Additional Data,31.25,31.0
175,Burma,0.2727272727272727,88.0,COVID-19 Spread Can Be Contained!,0.6363636363636364,3.0
176,MS Zaandam,0.0,9.0,COVID-19 Spread Can Be Contained!,0.0,0.0
177,Botswana,0.0,15.0,COVID-19 Spread Can Be Contained!,1.0,0.0
178,Burundi,0.0,5.0,COVID-19 Spread Can Be Contained!,0.0,0.0
179,Sierra Leone,5.5,26.0,Analysis is Pending Additional Data,3.25,11.0
180,Malawi,1.0,17.0,COVID-19 Spread Can Be Contained!,0.5,1.0
181,South Sudan,0.0,4.0,COVID-19 Spread Can Be Contained!,0.0,0.0
182,Western Sahara,0.0,6.0,COVID-19 Spread Can Be Contained!,0.0,0.0
183,Sao Tome and Principe,0.0,4.0,COVID-19 Spread Can Be Contained!,0.0,0.0
184,Yemen,0.0,1.0,New to The Pandemic,0.0,0.0
